name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
TotalAssets,"228,037,000,000","227,339,000,000","212,482,000,000","221,690,000,000","194,520,000,000","177,677,000,000","166,344,000,000","149,422,000,000","144,603,000,000","138,898,000,000","136,295,000,000","91,039,000,000"
	CurrentAssets,"74,992,000,000","75,293,000,000","68,744,000,000","76,203,000,000","78,007,000,000","83,670,000,000","81,501,000,000","69,996,000,000","60,247,000,000","53,053,000,000","59,247,000,000","44,267,000,000"
		CashCashEquivalentsAndShortTermInvestments,"23,243,000,000","26,810,000,000","23,825,000,000","24,801,000,000","23,401,000,000","28,176,000,000","28,993,000,000","27,410,000,000","31,647,000,000","26,616,000,000","22,813,000,000","14,194,000,000"
			CashAndCashEquivalents,"19,069,000,000","20,844,000,000","15,512,000,000","12,960,000,000","15,238,000,000","18,954,000,000","20,021,000,000","18,422,000,000","15,499,000,000","21,061,000,000","22,679,000,000","14,053,000,000"
			OtherShortTermInvestments,"4,174,000,000","5,966,000,000","8,313,000,000","11,841,000,000","8,163,000,000","9,222,000,000","8,972,000,000","8,988,000,000","16,148,000,000","5,555,000,000","134,000,000","141,000,000"
			CashCashEquivalentsAndShortTermInvestments,"23,243,000,000","26,810,000,000","23,825,000,000","24,801,000,000","23,401,000,000","28,176,000,000","28,993,000,000","27,410,000,000","31,647,000,000","26,616,000,000","22,813,000,000","14,194,000,000"
		AccountsReceivable,"33,398,000,000","33,399,000,000","28,685,000,000","31,703,000,000","26,388,000,000","25,606,000,000","22,813,000,000","14,439,000,000","9,949,000,000","8,699,000,000","7,768,000,000","8,340,000,000"
		Inventory,"10,398,000,000","9,816,000,000","10,663,000,000","13,788,000,000","13,764,000,000","13,642,000,000","14,039,000,000","14,714,000,000","14,324,000,000","12,125,000,000","10,107,000,000","13,195,000,000"
		OtherCurrentAssets,"7,953,000,000","5,268,000,000","5,571,000,000","5,911,000,000","4,265,000,000","5,148,000,000","4,060,000,000","3,318,000,000","2,464,000,000","2,568,000,000","3,115,000,000","5,142,000,000"
		CurrentAssets,"74,992,000,000","75,293,000,000","68,744,000,000","76,203,000,000","78,007,000,000","83,670,000,000","81,501,000,000","69,996,000,000","60,247,000,000","53,053,000,000","59,247,000,000","44,267,000,000"
	TotalNonCurrentAssets,"153,045,000,000","152,046,000,000","143,738,000,000","145,487,000,000","116,513,000,000","94,007,000,000","84,843,000,000","79,426,000,000","84,356,000,000","85,845,000,000","77,048,000,000","46,772,000,000"
		NetPPE,"80,805,000,000","82,317,000,000","79,135,000,000","70,346,000,000","51,401,000,000","34,803,000,000","29,250,000,000","25,845,000,000","22,957,000,000","19,235,000,000","18,687,000,000","39,665,000,000"
			GrossPPE,"109,504,000,000","109,042,000,000","103,216,000,000","88,309,000,000","63,750,000,000","44,078,000,000","36,679,000,000","31,662,000,000","27,558,000,000","22,512,000,000","19,972,000,000","83,377,000,000"
			AccumulatedDepreciation,"-28,699,000,000","-26,725,000,000","-24,081,000,000","-17,963,000,000","-12,349,000,000","-9,275,000,000","-7,429,000,000","-5,817,000,000","-4,601,000,000","-3,277,000,000","-1,285,000,000","-43,712,000,000"
			NetPPE,"80,805,000,000","82,317,000,000","79,135,000,000","70,346,000,000","51,401,000,000","34,803,000,000","29,250,000,000","25,845,000,000","22,957,000,000","19,235,000,000","18,687,000,000","39,665,000,000"
		InvestmentsAndAdvances,"8,562,000,000","9,215,000,000","9,073,000,000","8,996,000,000","9,201,000,000","8,350,000,000","8,094,000,000","6,883,000,000","6,790,000,000","8,529,000,000","9,425,000,000","4,063,000,000"
		Goodwill,"1,859,000,000","1,861,000,000","1,857,000,000","1,868,000,000","1,371,000,000","1,427,000,000","1,560,000,000","1,973,000,000","29,019,000,000","31,778,000,000","30,672,000,000","0"
		OtherIntangibleAssets,"3,478,000,000","3,718,000,000","3,992,000,000","4,391,000,000","4,576,000,000","4,983,000,000","5,668,000,000","6,809,000,000","10,013,000,000","11,882,000,000","14,547,000,000","265,000,000"
		OtherNonCurrentAssets,"7,346,000,000","5,770,000,000","4,929,000,000","4,070,000,000","3,021,000,000","3,024,000,000","3,181,000,000","3,040,000,000","3,515,000,000","5,916,000,000","3,055,000,000","2,572,000,000"
		TotalNonCurrentAssets,"153,045,000,000","152,046,000,000","143,738,000,000","145,487,000,000","116,513,000,000","94,007,000,000","84,843,000,000","79,426,000,000","84,356,000,000","85,845,000,000","77,048,000,000","46,772,000,000"
	TotalAssets,"228,037,000,000","227,339,000,000","212,482,000,000","221,690,000,000","194,520,000,000","177,677,000,000","166,344,000,000","149,422,000,000","144,603,000,000","138,898,000,000","136,295,000,000","91,039,000,000"
TotalAssets,"228,037,000,000","227,339,000,000","212,482,000,000","221,690,000,000","194,520,000,000","177,677,000,000","166,344,000,000","149,422,000,000","144,603,000,000","138,898,000,000","136,295,000,000","91,039,000,000"
	TotalLiabilitiesNetMinorityInterest,"182,080,000,000","184,562,000,000","176,282,000,000","177,615,000,000","154,197,000,000","141,653,000,000","123,170,000,000","112,422,000,000","105,612,000,000","101,739,000,000","114,338,000,000","176,115,000,000"
		CurrentLiabilities,"84,905,000,000","82,237,000,000","76,890,000,000","85,181,000,000","71,466,000,000","65,701,000,000","62,412,000,000","53,992,000,000","48,932,000,000","47,157,000,000","52,435,000,000","75,608,000,000"
			CurrentDebt,"37,400,000,000","31,891,000,000","26,965,000,000","29,028,000,000","19,562,000,000","14,988,000,000","14,158,000,000","4,868,000,000","1,682,000,000","1,616,000,000","10,221,000,000","16,920,000,000"
			AccountsPayable,"21,018,000,000","22,297,000,000","23,929,000,000","26,961,000,000","24,062,000,000","22,529,000,000","23,621,000,000","25,166,000,000","24,494,000,000","21,497,000,000","18,725,000,000","22,259,000,000"
			CurrentAccruedExpenses,"23,253,000,000","24,545,000,000","22,596,000,000","26,437,000,000","25,615,000,000","26,562,000,000","23,357,000,000","21,982,000,000","22,756,000,000","23,419,000,000","22,288,000,000","32,427,000,000"
			CurrentDeferredRevenue,"3,234,000,000","3,504,000,000","3,400,000,000","2,755,000,000","2,227,000,000","1,622,000,000","1,276,000,000","1,326,000,000",,,,
			OtherCurrentLiabilities,,,,,,,,"467,000,000",,,"1,201,000,000","4,002,000,000"
			CurrentLiabilities,"84,905,000,000","82,237,000,000","76,890,000,000","85,181,000,000","71,466,000,000","65,701,000,000","62,412,000,000","53,992,000,000","48,932,000,000","47,157,000,000","52,435,000,000","75,608,000,000"
		TotalNonCurrentLiabilitiesNetMinorityInterest,"97,175,000,000","102,325,000,000","99,392,000,000","92,434,000,000","82,731,000,000","75,952,000,000","60,758,000,000","58,430,000,000","56,680,000,000","54,582,000,000","61,903,000,000","100,507,000,000"
			LongTermDebt,"65,924,000,000","73,060,000,000","67,254,000,000","55,600,000,000","43,549,000,000","31,853,000,000","22,025,000,000","9,677,000,000","11,650,000,000","9,142,000,000","5,562,000,000","29,018,000,000"
			NonCurrentDeferredTaxesLiabilities,,,,,,,,,"12,336,000,000","13,021,000,000","13,279,000,000","17,392,000,000"
			NonCurrentDeferredRevenue,"2,962,000,000","2,959,000,000","2,887,000,000","2,362,000,000","2,007,000,000","1,556,000,000","1,249,000,000","1,169,000,000",,,,
			OtherNonCurrentLiabilities,"13,146,000,000","12,357,000,000","12,394,000,000",,,,,"13,169,000,000","783,000,000","1,231,000,000","270,000,000",
			TotalNonCurrentLiabilitiesNetMinorityInterest,"97,175,000,000","102,325,000,000","99,392,000,000","92,434,000,000","82,731,000,000","75,952,000,000","60,758,000,000","58,430,000,000","56,680,000,000","54,582,000,000","61,903,000,000","100,507,000,000"
		TotalLiabilitiesNetMinorityInterest,"182,080,000,000","184,562,000,000","176,282,000,000","177,615,000,000","154,197,000,000","141,653,000,000","123,170,000,000","112,422,000,000","105,612,000,000","101,739,000,000","114,338,000,000","176,115,000,000"
	StockholdersEquity,"41,792,000,000","38,860,000,000","35,001,000,000","43,836,000,000","39,871,000,000","35,457,000,000","42,607,000,000","36,244,000,000","38,120,000,000","36,180,000,000","21,249,000,000","-85,560,000,000"
		CapitalStock,"14,000,000","14,000,000","14,000,000","15,000,000","15,000,000","16,000,000","3,124,000,000","10,405,000,000","10,407,000,000","10,406,000,000","15,000,000","1,017,000,000"
		RetainedEarnings,"26,860,000,000","22,322,000,000","17,627,000,000","26,168,000,000","20,285,000,000","14,577,000,000","13,816,000,000","10,057,000,000","7,183,000,000","266,000,000","-4,394,000,000","-70,727,000,000"
		GainsLossesNotAffectingRetainedEarnings,"-11,156,000,000","-9,039,000,000","-8,011,000,000","-9,330,000,000","-8,036,000,000","-8,073,000,000","-3,113,000,000","-8,052,000,000","-5,861,000,000","1,251,000,000","1,588,000,000","-32,339,000,000"
		StockholdersEquity,"41,792,000,000","38,860,000,000","35,001,000,000","43,836,000,000","39,871,000,000","35,457,000,000","42,607,000,000","36,244,000,000","38,120,000,000","36,180,000,000","21,249,000,000","-85,560,000,000"
